split,n_days,n_high_days,frac_days_with_high,high_events_per_day_all_clocks,first_high_per_day,med_high_clocks_given_high_day,mean_high_clocks_given_high_day,med_gap_min_between_high_clocks,p_gap_eq_5
IS,2408,1380,0.5730897009966778,6.136627906976744,0.5730897009966778,11.0,10.707971014492754,5.0,0.9643203702321416
Validation,774,390,0.5038759689922481,5.254521963824289,0.5038759689922481,11.0,10.428205128205128,5.0,0.9567582268153386
OOS,412,209,0.5072815533980582,5.480582524271845,0.5072815533980582,12.0,10.803827751196172,5.0,0.9619326500732065
y2025,257,135,0.5252918287937743,5.412451361867705,0.5252918287937743,11.0,10.303703703703704,,
y2026,155,74,0.4774193548387097,5.593548387096774,0.4774193548387097,14.0,11.716216216216216,,
